DATE	MAKE & MODEL	"AIRCRAFT IDENT"	ROUTE OF FLIGHT	DURATION	"LANDINGS DAY"	"LANDINGS NIGHT"	ACTUAL INSTRUMENT	"SIMULATED INSTRUMENT"	"APPROACHES & TYPE"	NIGHT	SIM	X-C	SOLO	PIC	Flight Instruction Recieved
2/1/2009	PA-28	N760U	UNI-DAY	1.6	1							1.6	1.6	1.6	
2/1/2009	PA-28	N760U	DAY-UNI	1	1							1	1	1	
2/2/2009	PA-28	N730U	UNI-CMH	0.6	1							0.6	0.6	0.6	
2/2/2009	PA-28	N730U	CMH-UNI	0.6	1							0.6	0.6	0.6	
2/4/2009	FTD	Frasca 142	UNI						3		1.5				
2/5/2009	PA-28	N445DH	UNI-UNI	1		3				1				1	1
2/5/2009	PA-28	N445DH	UNI-DAY	1		1				1		1		1	1
2/5/2009	PA-28	N445DH	DAY-MGY	0.2		1				0.2		0.2		0.2	0.2
2/5/2009	PA-28	N445DH	MGY-UNI	0.8		1				0.8		0.8		0.8	0.8
2/6/2009	PA-28	N720U	UNI-DAY	1.5	1							1.5	1.5	1.5	
2/6/2009	PA-28	N720U	DAY-UNI	1.4	1							1.4	1.4	1.4	
2/8/2009	PA-28	N750U	UNI-HTS	2		5				2		2	2	2	
2/8/2009	PA-28	N750U	HTS-UNI	0.5		1				0.5		0.5	0.5	0.5	
2/9/2009	PA-28	N750U	UNI-CRW	0.8	1							0.8	0.8	0.8	
2/9/2009	PA-28	N750U	CRW-UNI	0.7	1							0.7	0.7	0.7	
2/16/2009	FTD	Frasca 142	UNI						3		1.5				
2/24/2009	PA-28	N750U	UNI-HTS	0.7	1							0.7	0.7	0.7	
2/24/2009	PA-28	N750U	HTS-UNI	0.7	1							0.7	0.7	0.7	
2/25/2009	PA-28	N720U	UNI-DAY	1.3	1							1.3	1.3	1.3	
2/25/2009	PA-28	N720U	DAY-MGY-UNI	1.6	2							1.6	1.6	1.6	
3/4/2009	PA-28	N730U	UNI-HTS	0.8	1							0.8	0.8	0.8	
3/4/2009	PA-28	N730U	HTS-UNI	0.8	2							0.8	0.8	0.8	
3/9/2009	PA-28	N750U	UNI-UNI	1.6	5									1.6	1.6
3/9/2009	PA-28	N750U	UNI-22I-UNI	1.1	3									1.1	1.1
3/12/2009	PA-28	N740U	UNI-CMH	0.8	1							0.8	0.8	0.8	
3/12/2009	PA-28	N740U	CMH-UNI	0.7	1							0.7	0.7	0.7	
3/13/2009	PA-28	N720U	UNI-MGY	1.4	2							1.4	1.4	1.4	
3/13/2009	PA-28	N720U	MGY-UNI	1.4	3							1.4	1.4	1.4	
3/14/2009	PA-28	N445DH	UNI-UNI	1.5	3								1.5	1.5	
3/14/2009	PA-28	N730U	UNI-UNI	1.5	4									1.5	1.5
3/19/2009	PA-28	N730U	UNI-UNI	0.9	3									0.9	0.9
3/20/2009	AA5A	N26988	3OH0-I74-3OH0	0.6	2									0.6	
3/21/2009	BC-12D	N95282	3OH0-I74	1	1									1	1
3/21/2009	BC-12D	N95282	I74-3OH0	1	4									1	1
3/22/2009	BC-12D	N95282	3OH0-3OH0	1.5	8									1.5	1.5
3/23/2009	BC-12D	N95282	3OH0-3OH0	1.3	15									1.3	1.3
4/2/2009	FTD	Frasca 142	UNI						2		1				
4/4/2009	C-150	N3297J	3OH0-UNI	1.2	1							1.2	1.2	1.2	
4/5/2009	C-152	N1000U	UNI-UNI	0.5	3									0.5	
4/8/2009	C-150	N3297J	UNI-UNI	0.4	1								0.2	0.4	
4/8/2009	PA-28	N750U	UNI-UNI	1.2		1		1	2	1.2				1.2	1.2
4/9/2009	FTD	Frasca 142	UNI						1		1				
4/10/2009	C-150	N3297J	UNI-UNI	0.6	6									0.6	
4/13/2009	PA-28	N750U	UNI-UNI	1.3	1			1.1	2					1.3	1.3
4/14/2009	FTD	Frasca 142	UNI						1		1				
4/16/2009	C-150	N3297J	UNI-UNI	0.6	6								0.6	0.6	
4/16/2009	PA-28	N780U	UNI-UNI	1.1	1			1	1					1.1	1.1
4/17/2009	C-150	N3297J	UNI-UNI	0.6	3								0.4	0.6	
4/18/2009	PA-28	N780U	UNI-UNI	1	1			0.9	1					1	1
4/19/2009	C-150	N3297J	UNI-UNI	0.5	3									0.5	
4/23/2009	PA-28	N740U	UNI-UNI	0.9	1			0.8	1					0.9	
4/26/2009	C-152	N220U	UNI-UNI	0.7	8								0.7	0.7	
4/26/2009	FTD	Frasca 131	UNI						2		1				
4/26/2009	PA-28	N760U	UNI-GAS-UNI	2.3	1			2	4					2.3	2.3
4/27/2009	C-150	N3297J	UNI-UNI	0.9		3				0.9				0.9	
4/27/2009	FTD	Frasca 131	UNI						2		1				
5/3/2009	C-152	N1000U	UNI-UNI	0.5	4								0.5	0.5	
5/4/2009	PA-28	N760U	UNI-CRW-HTS-UNI	2.3	3		1		2			2.3		2.3	2.3
5/5/2009	FTD	Frasca 131	UNI						1		1				
5/7/2009	PA-28	N730U	UNI-BKL-UNI	4	2		2		2			4		4	4
5/10/2009	C-152	N220U	UNI-UNI	0.4	1									0.4	
5/10/2009	C-150	N3297J	UNI-ISZ	1.6	1							1.6		1.6	
5/11/2009	PA-28	N740U	UNI-GAS-UNI	1.5	1			1	2					1.5	1.5
5/11/2009	FTD	Frasca 142	UNI						1		1				
5/12/2009	FTD	Frasca 131	UNI						2		1				
5/12/2009	PA-28	N445DH	UNI-LWB-PKB-UNI	3.5	2	1		2	3	1.5		3.5		3.5	3.5
5/14/2009	PA-28	N720U	UNI-GEO-RSV	3.3	2							3.3		3.3	3.3
