Date	Tail Number	Route	Duration		
2/13/2007	N545UA	KDCA-KORD	1.5		
2/22/2007	N665UA	KORD-KLAX	1.5		
2/23/2007	N913UA	KLAX-KPDX	1.5		
2/26/2007	N530UA	KPDX-KDEN	1.5		
2/26/2007	N782UA	KDEN-KIAD	1.5		
2/27/2007	N659UA	KIAD-EGLL	1.5		
3/1/2007	N212UA	EGLL-KORD	1.5		
3/2/2007	N174UA	KORD-EDDF	1.5		
3/6/2007	N178UA	EDDF-KSFO	1.5		
3/17/2007	N802UA	KSFO-KSNA	1.5		
3/17/2007	N822UA	KSNA-KSFO	1.5		
3/17/2007	N965SW	KSFO-KONT	1.5		
3/17/2007	N216SW	KONT-KLAX	1.5		
3/17/2007	N122UA	KLAX-RJAA	1.5		
3/19/2007	N227UA	RJAA-RKSI	1.5		
3/21/2007	C/S	RKSI-VTSP	1.5		
3/22/2007	C/S	VTSP-RKSI	1.5		
3/25/2007	C/S	RKSI-VHHH	1.5		
3/27/2007	N179UA	VHHH-WSSS	1.5		
3/27/2007	N769UA	WSSS-RJAA	1.5		
3/28/2007	N223UA	RJAA-RCTP	1.5		
3/28/2007	N223UA	RCTP-RJAA	1.5		
3/31/2007	N181UA	RJAA-KSFO	1.5		
4/6/2007	N916UA	KSFO-KDEN	1.5		
4/7/2007	N943SW	KDEN-KFSD	1.5		
4/10/2007	N943SW	KFSD-KORD	1.5		
4/10/2007	N458AW	KORD-KFSD	1.5		
4/11/2007	N458AW	KFSD-KORD	1.5		
4/12/2007	N652UA	KORD-KSFO	1.5		
4/13/2007	N311UA	KSFO-KPDX	1.5		
4/14/2007	N311UA	KPDX-KSFO	1.5		
4/16/2007	N648UA	KSFO-PHNL	1.5		
4/17/2007	N648UA	PHNL-KLAX	1.5		
4/20/2007	N817UA	KLAX-KIAD	1.5		
4/22/2007	N650UA	KIAD-KORD	1.5		
4/22/2007	N650UA	KORD-KIAD	1.5		
4/26/2007	N542UA	KIAD-TNCM	1.5		
5/3/2007	N545UA	TNCM-KIAD	1.5		
5/5/2007	N909SW	KIAD-KATL	1.5		
5/6/2007	N820UA	KATL-KSFO	1.5		
5/10/2007	N652UA	KSFO-PHNL	1.5		
5/10/2007	C/S	PHNL-PHOG	1.5		
5/10/2007	C/S	PHOG-PHNL	1.5		
6/5/2007	N588UA	PHNL-KLAX	1.5		
6/5/2007	N588UA	KLAX-KDEN	1.5		
6/6/2007	N438AW	KDEN-KFAR	1.5		
6/6/2007	N438AW	KFAR-KORD	1.5		
