DATE	TYPE	PLANE	ROUTE	DURATION	DAY LANDINGS	NIGHT LANDNG	ACTUAL INSTRUMENT	NIGHT	"CROSS COUNTRY
COUNTRY"	SIC
1/20/2009	CRJ200	N8532G	YWG-MSP	1.5	1	0	0	0	1.5	1.5
1/20/2009	CRJ200	N8532G	MSP-FNT	1.4	0	0	0	0	1.4	1.4
1/21/2009	CRJ200	N8541D	FNT-LGA	1.9	1	0	0	0	1.9	1.9
1/21/2009	CRJ200	N8855A	LGA-DSM	2.9	0	0	0	0	2.9	2.9
1/22/2009	CRJ200	N8855A	DSM-MSP	1	1	0	0	0	1	1
1/27/2009	CRJ200	N8477R	MSP-DAY	1.8	0	1	0.2	1.8	1.8	1.8
1/29/2009	CRJ200	N8960A	DAY-MSP	2	0	0	0	0	2	2
2/4/2009	CRJ200	N8543F	MSP-MSP	1.3	0	0	0	0	1.3	1.3
2/8/2009	CRJ200	N8524B	DTW-OKC	2.9	0	1	0	0	2.9	2.9
2/8/2009	CRJ200	N8982A	OKC-MSP	1.9	0	0	0.2	0	1.9	1.9
2/10/2009	CRJ200	N826AY	MSP-EVV	2.5	0	0	0.4	0	2.5	2.5
2/11/2009	CRJ200	N826AY	EVV-MSP	2.1	0	1	0.3	2.1	2.1	2.1
2/15/2009	CRJ200	N8869B	MSP-BIS	1.3	0	0	0	0	1.3	1.3
2/16/2009	CRJ200	N8869B	BIS-MSP	1.5	0	0	0	1.5	1.5	1.5
2/16/2009	CRJ200	N805AY	MSP-HLN	2.7	0	0	0	2.7	2.7	2.7
2/16/2009	CRJ200	N805AY	HLN-MSP	2.7	1	0	0.1	0	2.7	2.7
2/17/2009	CRJ200	N8604C	DLH-DTW	2	0	0	0	0	2	2
2/17/2009	CRJ200	N8604C	DTW-GSO	1.5	1	0	0	0	1.5	1.5
2/17/2009	CRJ200	N8604C	GSO-DTW	1.9	0	0	0	0	1.9	1.9
2/18/2009	CRJ200	N8710A	ELM-DTW	1.5	1	0	0.1	0	1.5	1.5
2/18/2009	CRJ200	N8883E	DTW-PIT	1.1	0	0	0	0	1.1	1.1
2/18/2009	CRJ200	N8883E	PIT-DTW	1.1	1	0	0.5	0	1.1	1.1
2/22/2009	CRJ200	N8412F	MSP-SGF	1.4	0	0	0	1.4	1.4	1.4
2/22/2009	CRJ200	N8412F	SGF-MSP	1.9	1	0	0	0	1.9	1.9
2/22/2009	CRJ200	N8409	XNA-MSP	2	1	0	0	0	2	2
2/22/2009	CRJ200	N8942A	MSP-SDF	1.8	0	0	0	0	1.8	1.8
2/23/2009	CRJ200	N837AY	MSP-SGF	1.5	0	1	0	1.5	1.5	1.5
2/23/2009	CRJ200	N8940E	SGF-MSP	1.8	0	0	0	0	1.8	1.8
2/23/2009	CRJ200	N8942A	SDF-MSP	2	0	1	0	0	2	2
2/25/2009	CRJ200	N820AY	MSP-YUL	2.4	0	0	0	0	2.4	2.4
2/25/2009	CRJ200	N820AY	YUL-MSP	2.7	1	0	0	0	2.7	2.7
3/2/2009	CRJ200	N8972E	DTW-SHV	2.6	0	0	0	0	2.6	2.6
3/2/2009	CRJ200	N8972E	SHV-DTW	2.6	0	1	0	1	2.6	2.6
3/3/2009	CRJ200	N8598B	DTW-ORF	1.7	0	0	0	1.7	1.7	1.7
3/3/2009	CRJ200	N801AY	ORF-DTW	2	1	0	0	0	2	2
3/4/2009	CRJ200	N801AY	DTW-DAY	0.7	0	0	0	0.7	0.7	0.7
3/4/2009	CRJ200	N8986B	DAY-DTW	1.1	1	0	0	0	1.1	1.1
3/4/2009	CRJ200	N8986B	DTW-CHS	1.9	0	0	0	0	1.9	1.9
3/5/2009	CRJ200	N8886A	CHS-DTW	2.3	1	0	0.2	0	2.3	2.3
3/5/2009	CRJ200	N8710A	DTW-MCI	2.1	0	0	0.2	0	2.1	2.1
3/5/2009	CRJ200	N8710A	MCI-MSP	1.8	1	0	0.2	0	1.8	1.8
3/14/2009	CRJ 200	N8775A	MSP-DAY	1.6	0	0	0	1.6		
3/14/2009	CRJ200	N8672A	DAY-MSP	1.8	1	0	0	0.7	1.8	1.8
3/15/2009	CRJ200	N8797A	MSP-YYZ	2.2	1	0	0	0	2.2	2.2
3/15/2009	CRJ200	N8797A	YYZ-MSP	2	0	0	0	0	2	2
3/20/2009	CRJ200	N8896A	MSP-TYS	1.9	0	0	0	1.4	1.9	1.9
3/21/2009	CRJ200	N8923A	TYS-DTW	1.7	1	0	0.2	0	1.7	1.7
3/21/2009	CRJ200	N841AY	DTW-BGR	1.9	0	0	0	0	1.9	1.9
3/22/2009	CRJ200	N8588D	BGR-DTW	2.3	1	0	0.2	0	2.3	2.3
3/22/2009	CRJ200	N8790A	DTW-DLH	2.1	0	0	0.3	0	2.1	2.1
3/22/2009	CRJ200	N8790A	DLH-DTW	1.8	0	0	0	0	1.8	1.8
3/26/2009	CRJ200	N8412F	MSP-DAY	1.9	0	0	0.2	1.9	1.9	1.9
3/26/2009	CRJ200	N8869B	DAY-MSP	1.9	1	0	0.4	0	1.9	1.9
3/27/2009	CRJ200	N8560F	YWG-MEM	3.2	1	0	0.1	0	3.2	3.2
3/28/2009	CRJ200	N8960A	MEM-STL	1.1	0	0	0	1.1	1.1	1.1
3/28/2009	CRJ200	N8960A	STL-MSP	1.5	1	0	0.7	0	1.5	1.5
4/3/2009	CRJ200	N826AY	DTW-IAD	1.9	1	0	0.2	0	1.9	1.9
4/3/2009	CRJ200	N826AY	IAD-DTW	2.7	0	0	0.5	0	2.7	2.7
4/10/2009	CRJ200	N8412F	MSP-CMX	1.1	0	0	0	1.1	1.1	1.1
4/10/2009	CRJ200	N8412F	CMX-MSP	1.2	1	0	0	0	1.2	1.2
4/11/2009	CRJ200	N8905F	MSP-DAY	1.7	0	0	0.2	1.2	1.7	1.7
4/11/2009	CRJ200	N829AY	DAY-MSP	2	1	0	0	0	2	2
4/11/2009	CRJ200	N8683B	MSP-SGF	1.5	0	1	0	1.5	1.5	1.5
4/11/2009	CRJ200	N8533D	SGF-MSP	1.5	0	0	0	0	1.5	1.5
4/18/2009	CRJ200	N8587E	MSP-STL	1.6	0	0	0.3	0	1.6	1.6
4/18/2009	CRJ200	N8587E	STL-MSP	1.5	1	0	0.4	0	1.5	1.5
4/18/2009	CRJ200	N8673D	MSP-DLH	0.8	0	0	0.2	0	0.8	0.8
4/18/2009	CRJ200	N8673D	DLH-MSP	0.9	1	0	0.3	0	0.9	0.9
4/19/2009	CRJ200	N8733G	MSP-GRR	1.3	1	0	0.4	0	1.3	1.3
4/19/2009	CRJ200	N8733G	GRR-DCA	1.5	0	0	0.5	0	1.5	1.5
4/19/2009	CRJ200	N8733G	DCA-GRR	1.8	0	1	0.7	0.8	1.8	1.8
4/20/2009	CRJ200	N8733G	MSP-TYS	2.1	0	0	0	1	2.1	2.1
4/21/2009	CRJ200	N8477R	TYS-MEM	2.2	1	0	0	0	2.2	2.2
4/21/2009	CRJ200	N8972E	MEM-XNA	1.1	0	0	0	0	1.1	1.1
4/21/2009	CRJ200	N8972E	XNA-MSP	2	1	0	0	0	2	2
4/21/2009	CRJ200	N8972E	MSP-DAY	1.5	0	0	0	0	1.5	1.5
4/21/2009	CRJ200	N8972E	DAY-DTW	1	1	0	0	0	1	1
4/22/2009	CRJ200	N8972E	DTW-MBS	1	0	0	0	0	1	1
4/22/2009	CRJ200	N8972E	MBS-DTW	0.7	1	0	0	0	0.7	0.7
4/22/2009	CRJ200	N8972E	DTW-MLI	1.3	0	0	0	0	1.3	1.3
4/22/2009	CRJ200	N8972E	MLI-DTW	1.3	1	0	0	0	1.3	1.3
4/22/2009	CRJ200	N8505Q	DTW-DAY	1.1	0	0	0.1	0	1.1	1.1
4/22/2009	CRJ200	N8505Q	DAY-MSP	2.1	1	0	0	0	2.1	2.1
4/26/2009	CRJ200	N8980A	MSP-SDF	2.1	1	0	0	0	2.1	2.1
4/26/2009	CRJ200	N8980A	SDF-MSP	2.2	0	0	0.4	0	2.2	2.2
4/26/2009	CRJ200	N8416B	MSP-TYS	2.9	0	0	0	1.5	2.9	2.9
4/27/2009	CRJ200	N8416B	TYS-MEM	1.2	1	0	0	0	1.2	1.2
5/2/2009	CRJ200	N8930E	CVG-MSP	2	1	0	0	0	2	2
5/10/2009	CRJ200	N8980A	MSP-SDF	2.1	1	0	0	0	2.1	2.1
5/10/2009	CRJ200	N8980A	SDF-MSP	2.1	1	0	0.2	0	2.1	2.1
5/11/2009	CRJ200	N829AY	MSP-OKC	1.9	0	0	0.2	1.9	1.9	1.9
5/11/2009	CRJ200	N8836A	OKC-DTW	2.2	0	0	0.1	0	2.2	2.2
5/12/2009	CRJ200	N8836A	DTW-BHM	1.7	0	1	0	1.7	1.7	1.7
5/12/2009	CRJ200	N8836A	BHM-DTW	2.9	1	0	0	0	2.9	2.9
5/12/2009	CRJ200	N8836A	DTW-CWA	1.5	0	0	0	0	1.5	1.5
5/12/2009	CRJ200	N8836A	CWA-DTW	1.2	0	0	0	0	1.2	1.2
5/12/2009	CRJ200	N8698A	DTW-DAY	1.1	1	0	0	0	1.1	1.1
5/12/2009	CRJ200	N8698A	DAY-MSP	2.1	1	0	0	0	2.1	2.1
5/17/2009	CRJ200	N8631E	MSP-IND	1.5	0	0	0	0	1.5	1.5
5/17/2009	CRJ200	N8631E	IND-DCA	1.6	1	0	0.2	0	1.6	1.6
5/17/2009	CRJ200	N8631E	DCA-IND	1.7	0	0	0.2	0	1.7	1.7
5/18/2009	CRJ200	N8631E	IND-LGA	2	1	0	0	0	2	2
5/18/2009	CRJ200	N8631E	LGA-IND	2.4	0	0	0	0	2.4	2.4
5/18/2009	CRJ200	N8412F	IND-RDU	1.7	1	0	0	0	1.7	1.7
5/19/2009	CRJ200	N8790A	RDU-MEM	1.9	0	0	0	0	1.9	1.9
5/19/2009	CRJ200	N8790A	MEM-PIT	1.9	0	1	0	0.6	1.9	1.9
5/20/2009	CRJ200	N839AY	PIT-DTW	1.2	0	0	0	0	1.2	1.2
5/20/2009	CRJ200	N839AY	DTW-XNA	1.9	1	0	0	0	1.9	1.9
5/21/2009	CRJ200	N839AY	XNA-DTW	2.3	0	0	0	0	2.3	2.3
5/22/2009	CRJ200	N8888D	DTW-MSP	1.6	0	1	0	1.6	1.6	1.6
5/26/2009	CRJ200	N8921B	MSP-ICT	1.7	0	1	0	1.5	1.7	1.7
5/26/2009	CRJ200	N8921B	ICT-MSP	1.8	0	0	0.2	0	1.8	1.8
5/27/2009	CRJ200	N805AY	MSP-GRR	1.3	0	0	0.5	0	1.3	1.3
5/27/2009	CRJ200	N805AY	GRR-DCA	1.8	1	0	0.6	0	1.8	1.8
6/1/2009	CRJ200	N8580A	DTW-ABE	1.3	0	0	0	1.3	1.3	1.3
6/1/2009	CRJ200	N8580A	ABE-DTW	1.6	1	0	0	0	1.6	1.6
6/12/2009	CRJ200	N8721B	MSP-OKC	2	0	1	0	1.8	2	2
6/12/2009	CRJ200	N8847A	OKC-IND	1.9	0	0	0	0	1.9	1.9
6/13/2009	CRJ200	N8718E	IND-DTW	0.9	0	0	0	0	0.9	0.9
6/13/2009	CRJ200	N8580A	DTW-FNT	0.5	0	0	0	0.5	0.5	0.5
6/13/2009	CRJ200	N8930E	FNT-DTW	0.6	1	0	0	0	0.6	0.6
6/13/2009	CRJ200	N8758D	DTW-ROC	1.3	0	0	0	0	1.3	1.3
6/13/2009	CRJ200	N8758D	ROC-DTW	1.2	1	0	0	0	1.2	1.2
6/17/2009	CRJ200	N8800G	MSP-FAR	1.7	1	0	0.2	0	1.7	1.7
6/17/2009	CRJ200	N8800G	FAR-MSP	1.1	0	0	0.1	0	1.1	1.1
6/17/2009	CRJ200	N8710A	MSP-RIC	2.5	1	0	0.2	0	2.5	2.5
6/17/2009	CRJ200	N8710A	RIC-MSP	3.2	0	0	0.2	0	3.2	3.2
6/18/2009	CRJ200	N8903A	MSP-BJI	1	1	0	0.1	0	1	1
6/18/2009	CRJ200	N8903A	BJI-MSP	0.9	0	0	0	0	0.9	0.9
6/18/2009	CRJ200	N8672A	MSP-RIC	2.7	1	0	0	0	2.7	2.7
6/18/2009	CRJ200	N8672A	RIC-MSP	2.9	0	0	0	0	2.9	2.9
6/19/2009	CRJ200	N8458A	MSP-ALO	1.3	0	0	0	1.3	1.3	1.3
6/19/2009	CRJ200	N8458A	ALO-MSP	0.8	1	0	0	0	0.8	0.8
6/21/2009	CRJ200	N8940E	MSP-IND	1.7	1	0	0.3	0	1.7	1.7
6/21/2009	CRJ200	N8940E	IND-BOS	2.5	0	0	0.3	0	2.5	2.5
6/21/2009	CRJ200	N8940E	BOS-IND	2.5	0	0	0.3	0	2.5	2.5
6/22/2009	CRJ200	N8646A	IND-MSP	1.8	1	0	0.2	0	1.8	1.8
6/25/2009	CRJ200	N8914A	MSP-PWM	2.5	0	0	0	1	2.5	2.5
6/26/2009	CRJ200	N8914A	PWM-MSP	3.1	1	0	0	0	3.1	3.1
6/27/2009	CRJ200	N8458A	MSP-ALO	0.7	0	1	0	0.7	0.7	0.7
6/27/2009	CRJ200	N8458A	ALO-MSP	1	0	0	0.2	0	1	1
6/28/2009	CRJ200	N827AY	MSP-CVG	2.1	0	0	0	0	2.1	2.1
6/28/2009	CRJ200	N827AY	CVG-MSP	2.3	1	0	0	0	2.3	2.3
