DATE	 	TYPE	PLANE	 	ROUTE 		TOTAL	Cross Country			DAY LANDINGS NIGHT LANDINGS 	ACTUAL INSTRUMENT	SIMULATED INSTRUMENT	APPROACHES		NIGHT	SIMULATOR	 		SOLO	PILOT IN COMMAND	DUAL RECEIVED		REMARKS
22 Jun 08	C-152	N6230Q	2	ith--elm--ith	1.7				8									1.7	1.7		
24 Jun 08	C-152	N6230Q	2	ith--n03--ith	1.3				8									1.3	1.3		
25 Jun 08	C-152	N6230Q	2	ith--n03--ith	1.6				8									1.6	1.6		
26 Jun 08	C-152	N6230Q	1	ith--local	1.4				11									1.4	1.4		
27 Jun 08	C-152	N25028	1	ith--local	1.2				4									1.2	1.2		
30 Jun 08	C-152	N25028	1	ith--local	1.3				3									1.3	1.3		
30 Jun 08	C-152	N25028	1	ith--local	0.8				1			0.2						0.8	0.8		
3 Jul 08	C-152	N25028	1	ith--local	0.5				2									0.5	0.5		
5 Jul 08	C-152	N25028	3	ith--elm--bgm--ith	1.5				3									1.5	1.5		
6 Jul 08	C-152	N25028	4	ith--roc--syr--b16--ith	2.8	2.8			4							2.8		2.8	2.8		
6 Jul 08	C-152	N25028	1	ith--local	0.3				2								0.3	0.3			
8 Jul 08	C-152	N6230Q	1	ith--local	0.9				3									0.9	0.9		
9 Jul 08	C-172	N66230	1	ith--local	1.1				4									1.1	1.1		
9 Jul 08	C-172	N97266	2	ith--fzy--ith	1.6	1.6			1	1				0.6		1.6		1.6	1.6		
10 Jul 08	C-172	N53045	1	ith--local	1.0				10									1.0	1.0		
12 Jul 08	C-152	N25028	2	ith--dsv--ith	1.8	1.8			2							1.8		1.8			
16 Jul 08	C-172	N66230	1	ith--local	1.0				8									1.0	1.0		
16 Jul 08	C-152	N25028	3	ith--7g0--elz--ith	3.3	3.3			3							3.3		3.3			
18 Jul 08	C-172	N66230	1	ith--local	1.1				6									1.1	1.1		
18 Jul 08	C-152	N6230Q	2	ith--4g6--ith	1.7	1.7			2							1.7		1.7			
31 Jul 08	PA-28	56694	1	mci--top	1.0				1									1.0	1.0																1st flight low wing.  Met Rob.
31 Jul 08	PA-30	8208Y	1	top-k88	1.0				1							1.0			1.0																	1st flight in a twin
4 Aug 08	PA-28	56694	1	top-k88	1.5	1.5				1				1.5		1.5		1.5	1.5		
5 Aug 08	PA-28	56694	1	k88--top	1.8	1.8			5			0.5				1.8		1.8	1.8		
5 Aug 08	PA-28	56694	1	top-k88	1.3	1.3			1			0.8				1.3		1.3	1.3		
5 Aug 08	PA-28	56694	2	k88--bvo--k88	2.1	2.1				2		0.6		2.1		2.1		2.1	2.1		
8 Aug 08	PA-28	56694	3	k88--k81--ezz--dmo--k88	4.4	4.4			1	3		2.9		3.7		4.4		4.4	4.4		
15 Aug 08	PA-28	56694	4	k88--top--afk--hru--k88	5.6	5.6				5				5.6		5.6	5.6	5.6			
16 Aug 08	PA-28	56694	3	k88--hsd--2k7--k88	4.7	4.7				3				4.7		4.7	4.7	4.7			
17 Aug 08	PA-28	56694	3	k88--sda--hig--k88	5.9	5.9				3				5.9		5.9	5.9	5.9			
21 Aug 08	PA-30	8208Y	1	k88--top	0.9				1		0.3		1			0.9			0.9		
21 Aug 08	PA-30	8208Y	1	top-lwc	0.9				1				1						0.9		
21 Aug 08	PA-30	8208Y	1	lwc--k88	0.9				1		0.2		1			0.9			0.9		
26 Aug 08	PA-30	8208Y	1	k88--top	1.1				1			0.9	1			1.1			1.1		
26 Aug 08	PA-30	8208Y	1	top-k88	0.9				1			0.6	1			0.9			0.9		
26 Aug 08	PA-28	56694	3	k88--ixd--lwc--k88	3.2	3.2				4		2.6	5	3.2		3.2		3.2	3.2		
4 Sep 08	PA-28	56694	3	k88--sln--cbk--2v5	5.1	5.1				1		4.6	3	5.1		5.1		5.1	5.1		
5 Sep 08	PA-28	56694	1	2v5--cys	2.2	2.2			1		0.6	1.2	1	1.3		2.2		2.2	2.2		
5 Sep 08	PA-28	56694	1	cys--bjk	1.5	1.5			1		0.9	0.3	1			1.5		1.5	1.5		
5 Sep 08	PA-28	56694	1	bjk--gck	3.7	3.7				1	0.1	2.7	1	3.7		3.7		3.7	3.7		
6 Sep 08	PA-28	56694	1	gck--sln	2.2	2.2				1	0.1	1.7		2.2		2.2		2.2	2.2		
6 Sep 08	PA-28	56694	1	sln--k88	1.8	1.8			1		1.2	0.3	1			1.8		1.8	1.8		
8 Sep 08	PA-28	56694	1	k88--ixd	0.9	0.9			1		0.5		1			0.9		0.9	0.9		
8 Sep 08	PA-28	56694	1	ixd--top	0.8				1		0.5		1					0.8	0.8		
8 Sep 08	PA-28	56694	1	top--k88	1.2	1.2			1		0.6	0.2	1			1.2		1.2	1.2		
9 Sep 08	PA-28	56694	1	k88--mkc	2.4	2.4				1		2.1	3	2.4		2.4		2.4	2.4		
9 Sep 08	PA-28	56694	1	mkc--k88	1.5	1.5				1	0.2	1.0	1	1.5		1.5		1.5	1.5		
10 Sep 08	PA-28	56694	2	k88--bvo--tul	2.0	2.0				2	1.7		2	2.0		2.0		2.0	2.0		
10 Sep 08	PA-28	56694	2	tul--ipd--k88	1.9	1.9				2	1.0		2	1.9		1.9		1.9	1.9		
12 Sep 08	PA-28	56694	2	k88--lwc--k88	2.6	2.6			2		1.1	1.0	3			2.6		2.6	2.6		
12 Sep 08	PA-28	56694	2	k88--ixd--k88	4.1	4.1				4		3.7	7	4.1		4.1		4.1	4.1		
17 Sep 08	PA-30	8208Y	1	k88--top	0.7				1			0.4				0.7			0.7		
17 Sep 08	PA-30	8208Y	1	top--k88	1.0				1				1			1.0			1.0		
17 Sep 08	PA-28	56694	3	k88--ixd--lwc--k88	3.5	3.5			3			3.0	6	3.5		3.5		3.5	3.5		
18 Sep 08	PA-30	8208Y	1	k88--top	0.6				1							0.6			0.6		
18 Sep 08	PA-30	8208Y	1	top--k88	0.8				1							0.8			0.8		
