"DATE"	"MAKE/MODEL"	"IDENT"	"FROM"	"MID"	"TO"	"DURATION"	"ASEL"	"AMEL"	"COMPLEX"	"SIM"	"SIM"	"DAY"	"NIGHT"	"NIGHT PIC"	"Dual"	"PIC"	"TOTAL"	"INSTRUMENT"	"INST/HOOD"	"APPROACH"	"SIMULATOR"	"PIC"	"DUAL RCV"	"SOLO"	"TOTAL"		"COMMAND"	"COMMAND"	"RECEIVED"	"INSTRUCTOR"	"FTD"	"PCATD"	"X-COUNTRY"	"PRIVATE"	"INSTRUMENT"	"COMMERCIAL"	"CFI"	"CFII"	"MULTI"								
17-Jun-06	"BE36-A"	"7206J"	"IWA"	"CGZ"	"IWA"	2.2	2.2		2.2			2							1.8	3							2.2		2.2														
18-Jun-06	"BE36-A"	"9067E"	"IWA"	"TUS-MZJ"	"IWA"	2.2	2.2		2.2			3							1.3	3		2.2	2.2		2.2		2.2		2.2														
18-Jun-06	"FRASCA 141"									2.0											2.0																						
20-Jun-06	"FRASCA 141"									2.0											2.0																						
22-Jun-06	"FRASCA 141"									2.5											2.5																						
25-Jun-06	"FRASCA 141"									2.5											2.5																						
26-Jun-06	"FRASCA 141"									1.0											1.0																						
27-Jun-06	"FRASCA 141"									2.0											2.0																						
28-Jun-06	"FRASCA 141"									2.0											2.0																						
6-Jul-06	"BE36-A"	"7206J"	"IWA"	"CGZ-CHD"	"IWA"	1.9	1.9		1.9			1	1	1	0.5	0.5	0.5		1.7	4							1.9		1.9														
6-Jul-06	"FRASCA 141"									2.0											2.0																						
8-Jul-06	"C-172N"	"80CL"	"CHD"	"DVT-SDL-P19"	"CHD"	1.3	1.3						4			1.3	1.3										1.3																
9-Jul-06	"BE36-A"	"94JV"	"IWA"	"CGZ"	"IWA"	1.7	1.7		1.7			2							1.5	1							1.7		1.7														
9-Jul-06	"FRASCA 141"									3.6											3.6																						
23-Jul-06	"FRASCA 141"									1.5											1.5																						
26-Jul-06	"BE36-A"	"8256H"	"IWA"	"CGZ"	"IWA"	1.6	1.6		1.6			3							1.3	2							1.6		1.6														
26-Jul-06	"FRASCA 141"									1.6											1.6																						
1-Aug-06	"FRASCA 141"									1.5											1.5																						
2-Aug-06	"BE36-A"	"7206J"	"IWA"		"IWA"	1.7	1.7		1.7			2							1.5	2							1.7		1.7														
