Date	Registration	Type	Route	Total	PIC	Solo	SIC	Night	Dual Received	Dual Given	Cross Country	Actual Instrument	Simulated Instrument	Night Landings	Day Landings	Sim	Approaches	Person	Remarks	Flying
2009-12-12	B737	B737-700	ESOW LSZH	1.8	1.8			1.8			1.8	1.8		1			1		http://www.vataware.com/flight.cfm?id=4695835	
2009-12-13	B738	737-800, BBJ2	LSZH LOWS	0.7	0.7			0.7			0.7	0.7		1			1		http://www.vataware.com/flight.cfm?id=4702631	
2009-12-13	B738	737-800, BBJ2	LOWS LLJR	3.1	3.1			3.1			3.1	3.1		1			1		http://www.vataware.com/flight.cfm?id=4703160	
2009-12-13	B738	737-800, BBJ2	LLJR OMDB	2.4	2.4			1.9			2.4	2.4			1		1		http://www.vataware.com/flight.cfm?id=4704611	
2009-12-14	B738	737-800, BBJ2	OMDB VIDP	2.8	2.8			2.8			2.8	2.8		1			1		http://www.vataware.com/flight.cfm?id=4709205	
2009-12-15	B77W	777-300ER	VIDP OMDB	3.0	3.0			1.5			3.0	3.0			1		1		http://www.vataware.com/flight.cfm?id=4714877	
2009-12-16	A343	A-340-300	OMDB LSZH	6.6	6.6						6.6	6.6			1		1		http://www.vataware.com/flight.cfm?id=4718697	
2009-12-17	E170	EMB-170/175	LSZH EDDH	1.2	1.2			1.2			1.2	1.2		1			1		http://www.vataware.com/flight.cfm?id=4724052	
2009-12-18	DHC7	DHC-7 Dash 7	EDDH LOWW	2.0	2.0			2.0			2.0	2.0		1			1		http://www.vataware.com/flight.cfm?id=4729487	
2009-12-19	E190	EMB-190/195	LOWW LSZH	1.0	1.0			1.0			1.0	1.0		1			1		http://www.vataware.com/flight.cfm?id=4736993	
2009-12-19	B752	757-200	LSZH EDDP	1.0	1.0						1.0	1.0			1		1		http://www.vataware.com/flight.cfm?id=4738185	
2009-12-19	B752	757-200	EDDP KORD	8.2	8.2						8.2	8.2			1		1		http://www.vataware.com/flight.cfm?id=4738686	
2009-12-20	MD11	MD-11	KORD PANC	6.2	6.2			6.2			6.2	6.2		1			1		http://www.vataware.com/flight.cfm?id=4746961	
2009-12-21	MD11	MD-11	PANC ZBAA	7.9	7.9						7.9	7.9			1		1		http://www.vataware.com/flight.cfm?id=4751445	
2009-12-22	MD11	MD-11	ZBAA VHHH	2.8	2.8			2.4			2.8	2.8			1		1		http://www.vataware.com/flight.cfm?id=4756657	
2009-12-22	MD11	MD-11	VHHH OKBK	8.6	8.6						8.6	8.6			1		1		http://www.vataware.com/flight.cfm?id=4757900	
2009-12-23	MD11	MD-11	OKBK EBBR	5.9	5.9			5.9			5.9	5.9		1			1		http://www.vataware.com/flight.cfm?id=4763201	
2009-12-25	MD11	MD-11	EBBR KORD	9.2	9.2			9.2			9.2	9.2		1			1		http://www.vataware.com/flight.cfm?id=4773342	
2009-12-26	B744	747-400 (Interna	KORD KSFO	3.7	3.7			1.3			3.7	3.7		1			1		http://www.vataware.com/flight.cfm?id=4780293	
2009-12-26	BE20	200	KSFO KSQL	0.4	0.4			0.4				0.4		1			1		http://www.vataware.com/flight.cfm?id=4781667	
2009-12-27	PC12	PC-12	KSQL KTVL	0.9	0.9						0.9	0.9			1		1		http://www.vataware.com/flight.cfm?id=4787262	
2009-12-27	PC12	PC-12	KTVL KAVX	1.6	1.6						1.6	1.6			1		1		http://www.vataware.com/flight.cfm?id=4787800	
2009-12-30	PC12	PC-12	KAVX MMSD	3.3	3.3						3.3	3.3			1		1		http://www.vataware.com/flight.cfm?id=4798015	
2010-01-01	PC12	PC-12	MMSD MMUN	5.6	5.6						5.6	5.6			1		1		http://www.vataware.com/flight.cfm?id=4809194	
