Date	AC Type	Plane	Route of Flight	Approaches	day landing	night landing	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
7/1/04	PA-28	N75078	MWA - CRW		1		3.3				0.4			3.3		3.3	3.3	3.3		
7/1/04	PA-28	N75078	CRW - JGG		1		2.7				0.2			2.7		2.7	2.7	2.7		
7/3/04	PA-28	N75078	JGG - W75 - JGG		2		1.6									1.6		1.6		
7/5/04	PA-28	N75078	JGG - FCI - JGG		2		1.2									1.2		1.2		
7/8/04	PA-28	N75078	JGG - JGG		4		0.6									0.6	0.6	0.6		
7/9/04	PA-28	N75078	JGG - PVG - JGG		2		0.9									0.9	0.9	0.9		
7/11/04	PA-28	N75078	JGG - TGI - JGG		2		1.5				0.4					1.5		1.5		
7/14/04	PA-28	N75078	JGG - PHF - JGG		4		1.8								1.2	1.8	0.6	1.8		
7/17/04	PA-28	N75078	JGG - FYJ - JGG		2		0.7									0.7	0.7	0.7		
8/4/04	PA-28	N75078	JGG - LFI		1		0.4									0.4	0.4	0.4		
8/6/04	PA-28	N75078	LFI - LFI		2		0.4									0.4	0.4	0.4		
8/7/04	PA-28	N75078	LFI - FFA - LFI		2		1.7							1.7		1.7		1.7		
8/8/04	PA-28	N75078	LFI - ORF - LFI		5		1.3									1.3	1.3	1.3		
8/17/04	PA-28	N75078	LFI - PVG - LFI		2		1.0									1.0	1.0	1.0		
8/22/04	PA-28	N75078	LFI-W96-PTB-FCI	2	3		1.5					0.5		1.5		1.5		1.5		
8/22/04	PA-28	N75078	W45 - LFI		1		1.5				0.1			1.5		1.5		1.5		
8/24/04	PA-28	N75078	LFI - DKX		1		4.0				0.5			4.0		4.0	4.0	4.0		
8/24/04	PA-28	N75078	DKX - M88		1		1.6				0.3			1.6		1.6	1.6	1.6		
8/26/04	PA-28	N75078	M88 - AVC		1		4.1				1.0			4.1		4.1	4.1	4.1		
8/26/04	PA-28	N75078	AVC - LFI		1		1.0							1.0		1.0	1.0	1.0		
9/3/04	PA-28	N75078	LFI - LFI		3		0.4									0.4	0.4	0.4		
9/4/04	PA-28	N75078	LFI - AIY		1		1.8							1.8		1.8		1.8		
9/4/04	PA-28	N75078	AIY - LFI		1		1.7							1.7		1.7		1.7		
9/11/04	PA-28	N75078	LFI - W75 - LFI		4		1.2				0.2					1.2		1.2		
9/19/04	PA-28	N75078	LFI - FFA - LFI		2		1.9				0.1			1.9		1.9		1.9		
9/21/04	PA-28	N75078	LFI - IAD - LFI		2		3.6							3.6		3.6		3.6		
9/24/04	PA-28	N75078	LFI - GSO - LFI		2		3.9							3.9		3.9		3.9		
9/26/04	PA-28	N75078	LFI - ORF - LFI		2		1.3									1.3	1.3	1.3		
10/3/04	PA-28	N75078	LFI - LFI		3		0.5									0.5	0.5	0.5		
10/6/04	PA-28	N75078	LFI - MTV		1		1.9				0.1			1.9		1.9		1.9		
10/6/04	PA-28	N75078	MTV - DKX		1		2.1							2.1		2.1		2.1		
10/6/04	PA-28	N75078	DKX - M88		1		1.7							1.7		1.7		1.7		
10/8/04	PA-28	N75078	M88 - HLX		1		2.9							2.9		2.9		2.9		
10/8/04	PA-28	N75078	HLX - PHF		1		2.2							2.2		2.2		2.2		
10/10/04	PA-28	N75078	PHF - WRI		1		2.1							2.1		2.1		2.1		
10/11/04	PA-28	N75078	WRI - PHF		1		1.9							1.9		1.9		1.9		
10/12/04	PA-28	N75078	PHF - LFI		1		0.3									0.3	0.3	0.3		
10/17/04	PA-28	N75078	LFI - PHF - LFI		3		1.1									1.1	1.1	1.1		
10/21/04	PA-28	N75078	LFI-FYJ-JGG-PHF	3	3		1.2				0.4	0.3				1.2		1.2		
10/21/04	PA-28	N75078	PHF-FYJ-JGG-LFI				0.3									0.3		0.3		
10/23/04	PA-28	N75078	LFI - W45		1		2.0				0.2			2.0		2.0		2.0		
10/23/04	PA-28	N75078	W45 - LFI		1		1.4				0.1			1.4		1.4		1.4		
10/28/04	PA-28	N75078	LFI - MFV				0.2									0.2		0.2		
10/28/04	PA-28	N75078	MFV - ORF - PHF	2		5	1.4			1.4		0.4				1.4		1.4		
10/28/04	PA-28	N75078	PHF - LFI				0.5									0.5		0.5		
11/7/04	PA-28	N75078	LFI - LFI		1		1.0									1.0	1.0	1.0		
11/21/04	PA-28	N75078	LFI - LFI		8		0.6									0.6	0.6	0.6		
11/26/04	PA-28	N75078	LFI - AKQ - LFI		6		1.4									1.4	1.4	1.4		
12/14/04	PA-28	N75078	LFI - FFA - LFI		2		1.9							1.9		1.9		1.9		
12/16/04	PA-28	N75078	LFI - LFI			1	0.9			0.9						0.9		0.9		
12/19/04	PA-28	N75078	LFI - PHF		1		0.4									0.4	0.4	0.4		
12/29/04	PA-28	N75078	PHF - PHF			1	1.0			1.0						1.0		1.0		
12/30/04	PA-28	N75078	PHF - PHF			1	1.0			1.0						1.0		1.0		
1/4/05	PA-28	N75078	PHF-MQI-RDU-PHF		3		4.3							4.3		4.3	2.4	4.3		
2/6/05	PA-28	N75078	PHF - FCI		1		0.8							0.8		0.8		0.8		
2/13/05	PA-28	N75078	PHF - FYJ - W75 - PHF		4		1.2									1.2	1.2	1.2		
2/15/05	PA-28	N75078	PHF-IGX-RDU-ORF-PHF		4		3.8							3.8		3.8	2.1	3.8		
2/19/05	PA-28	N75078	FYJ - PHF		1		0.3									0.3	0.3	0.3		
2/19/05	PA-28	N75078	PHF - FYJ		1		0.6									0.6		0.6		
2/26/05	PA-28	N75078	CCV (VOR) - MFV	1			0.2					0.2				0.2		0.2		
2/28/05	PA-28	N75078	PHF - FJY - JGG - PHF	3	1		1.1				0.8					1.1	1.1	1.1		
