6/5/2002	C-172	N5433R	LKR-LKR	1		1.0		1.0								1.0	1.0		
6/11/2002	C-172	N5433R	LKR-GVL-LKR	2		3.4		3.4					3.4			3.4	3.4		
6/11/2002	C-172	N12701	LKR-LKR	2		0.6		0.6								0.6	0.6		
6/18/2002	C-172	N5433R	LKR-LKR	3		0.5		0.5								0.5	0.5		
6/25/2002	C-172	N12701	LKR-LKR	2		0.5		0.5								0.5	0.5		
6/30/2002	C-172	N5433R	LKR-HVS-LKR	2		1.2		1.2								1.2	1.2		
7/1/2002	C-172	N5433R	LKR-60J-LKR	2		3.1		3.1				2.0	3.1			3.1	3.1		
7/6/2002	C-172	N5433R	LKR-LKR	2		0.9		0.9								0.9	0.9		
7/12/2002	C-172	N5433R	LKR-LKR	2		0.9		0.9								0.9	0.9		
7/24/2002	C-172	N5433R	LKR-LKR	5		1.0		1.0								1.0	1.0		
7/26/2002	C-172	N12701	LKR-EQY-LKR	2		0.8		0.8			0.3	0.4				0.8	0.8		
8/8/2002	C-172	N12701	LKR-LKR	1		1.7		1.7								1.7	1.7		
8/12/2002	BE-33	N1826F	LKR-AVL-LKR	3		3.1		3.1					3.1		3.1	3.1	3.1		
8/17/2002	C-172	N12701	LKR-SC72-LKR	2		1.7		1.7					1.7			1.7	1.7		
8/19/2002	C-172	N12701	LKR-GYH-LKR	1	1	1.5	0.4	1.9					1.9			1.9	1.9		
8/23/2002	C-172	N12701	LKR-LKR	1		1.4		1.4								1.4	1.4		
8/24/2002	C-172	N12701	LKR-LKR	2		1.2		1.2								1.2	1.2		
9/1/2002	C-172	N5433R	LKR-LKR	1		0.5		0.5								0.5	0.5		
9/1/2002	M20	N9364M	LKR-LKR	4		1.2		1.2								1.2	1.2		
9/3/2002	C-172	N12701	LKR-UZA-LKR	2		0.6		0.6								0.6	0.6		
9/4/2002	C-172	N12701	LKR-OGB-UZA-LKR	3		3.1		3.1					3.1			3.1	3.1		
9/5/2002	C-172	N5433R	LKR-K24	1		2.6		2.6				0.1	2.6			2.6	2.6		
9/7/2002	M20	N7822V	LKR-LKR	1		1.1		1.1								1.1	1.1		
9/8/2002	C-172	N12701	LKR-OGB-LKR	2		1.9		1.9					1.9			1.9	1.9		
9/9/2002	M20	N7822V	LKR-UZA-LKR	2		2.7		2.7			0.8				2.7	2.7	2.7		
9/10/2002	M20	N7822V	LKR-LKR	6		2.8		2.8					2.8		2.8	2.8	2.8		
9/11/2002	M20	N7822V	LKR-AND	1		1.8		1.8			1.8		1.8		1.8	1.8	1.8		
9/11/2002	M20	N7822V	AND-CRE	1		1.8		1.8			1.8		1.8		1.8	1.8	1.8		
9/11/2002	M20	N7822V	CRE-LKR	2		1.2		1.2			1.2		1.2		1.2	1.2	1.2		
9/13/2002	M20	N7822V	LKR-BHM	1		2.8		2.8				2.0	2.8			2.8	2.8		
9/13/2002	M20	N7822V	BHM-L38	1		2.7		2.7				1.4	2.7			2.7	2.7		
9/14/2002	M20	N7822V	L38-L38	1		1.4		1.4								1.4	1.4		
9/16/2002	M20	N7822V	L38-OPN	1		2.7		2.7				1.9	2.7			2.7	2.7		
9/16/2002	M20	N7822V	OPN-LKR	1		2.5		2.5				1.8	2.5			2.5	2.5		
9/21/2002	M20	N7822V	LKR-LKR	4		1.9		1.9								1.9	1.9		
9/23/2002	M20	N7822V	LKR-JNX-EQY-LKR		3	0.6	2.0	2.6				1.2	2.6			2.6	2.6		
10/1/2002	M20	N7822V	LKR-UZA-LKR	2		0.8		0.8								0.8	0.8		
10/6/2002	M20	N7822V	LKR-UDG-LKR	2		1.9		1.9					1.9			1.9	1.9		
10/13/2002	M20	N7822V	LKR-OGB-UZA-LKR	3		2.2		2.2					2.2			2.2	2.2		
10/15/2002	M20	N7822V	LKR-9A6-LKR-UZA-LKR	4		0.7		0.7								0.7	0.7		
10/23/2002	M20	N7822V	LKR-LKR	1		0.7		0.7								0.7	0.7		
11/3/2002	M20	N7822V	LKR-OGB-LKR	2		1.5		1.5					1.5			1.5	1.5		
11/7/2002	M20	N7822V	LKR-OGB-LKR	2		1.7		1.7					1.7			1.7	1.7		
11/17/2002	M20	N7822V	LKR-EQY-LKR	3		0.8		0.8								0.8	0.8		
11/25/2002	M20	N7822V	LKR-EQY-LKR		3	0.0	0.9	0.9								0.9	0.9		
